Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Геологический музей им. Вернадского,Музеи,None,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,12.00-19.00,12.00-19.00,http://www.sgm.ru/,8  (495) 692-09-43,Моховая ул.+++ д. 11+++ корп. 11,55.7561861,37.6113278
Голландский домик Петра I в Коломенском,Музеи,None,None,None,None,None,None,None,None,None,Проспект Андропова,55.6728111,37.6787917
Головинский районный музей при совете ветеранов ВОВ,Музеи,None,None,None,None,None,None,None,None,None,Кронштадтский бульв.+++ 30+++ к.1+++ кв. 2,55.8480944,37.509425
Государственная картинная галерея Ильи Глазунова,Музеи,None,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://glazunov-gallery.ru/,8 (495) 691-69-49,Волхонка ул.+++ д.13,55.746425,37.60665
Государственная Третьяковская галерея,Музеи,None,10.00-18.00,10.00-18.00,10.00-21.00,10.00-21.00,10.00-18.00,10.00-18.00,http://www.tretyakovgallery.ru/,8 (499) 230-77-88+++ 8 (499) 238-13-78+++ 8 (495) 951-13-62 (справки по телефонам)+++ 8 (495) 953-52-23+++ 8 (499) 238-20-54 (информация об экскурсиях),Лаврушинский пер.+++ д.10,55.7414861,37.6201472
Государственная Третьяковская галерея на Крымском Валу,Музеи,None,10.00-19.30,10.00-19.30,10.00-19.30,10.00-19.30,10.00-19.30,10.00-19.30,http://www.tretyakovgallery.ru/,8 (499) 230-77-88+++ 8 (499) 951-13-62+++ 8 (499) 238-13-78,Крымский Вал ул.+++ д. 10,55.7341917,37.6048278
"Государственное бюджетное учреждение культуры города Москвы ""Государственный музей – культурный центр ""Интеграция"" имени Н.А.Островского""",Музеи,None,10.00-18.00,10.00-18.00,13.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.tverskaya14.ru/,8 (495) 629-85-52,Тверская ул. д.14,55.7642972,37.6067389
Государственный выставочный зал истории войны в Афганистане,Выставочные центры,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,http://afgan-zal.ru/about/,8 (495) 306-43-39+++ 8 (495) 306-43-30,1-я Владимирская ул.+++ д. 12+++ корп. 1,55.75775,37.7745278
Государственный Дарвиновский музей,Музеи,None,10.00-18.00,10.00-18.00,13.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.darwinmuseum.ru,8 (499) 783-22-53,Вавилова ул.+++ д.57,55.6906417,37.5614694
Государственный Исторический музей,Музеи,10.00-18.00,None,10.00-18.00,11.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.shm.ru/,8 (495) 692-40-19 (справочная)+++  8 (495) 692-68-17 (заказ экскурсий),Красная пл.+++ 1/2+++,55.7554472,37.6172083
Государственный музей изобразительных искусств им. А.С. Пушкина,Музеи,None,10.00-19.00,10.00-19.00,10.00-21.00,10.00-19.00,10.00-19.00,10.00-19.00,http://www.arts-museum.ru/,8 (495) 697-95-78+++ 8 (495) 697-74-12,Волхонка ул.+++ 12,55.7472972,37.6053222
Государственный музей истории ГУЛАГа,Музеи,None,11.00-19.00,11.00-19.00,12.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.gmig.ru/,7 (495) 681-88-82,1-й Самотечный пер.+++ д.9+++ стр.1,55.7770194,37.6138556
Государственный музей современного искусства Российской академии художеств,Выставочные центры,12.00-20.00,12.00-20.00,12.00-20.00,13:00-21:00,12.00-20.00,12.00-20.00,None,http://www.mmoma.ru/,8 (495) 231-36-60 единая справочная,Гоголевский бул. д. 10,55.7470417,37.6002083
Государственный музей спорта,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://museumsport.ru/,8 (495) 995-35-50+++ 8 (495) 995-35-49,Казакова ул.+++ д. 18+++ стр. 2,55.7626972,37.6685139
Государственный центр современного искусства,Музеи,None,12.00-20.00,12.00-20.00,12.00-21.00,12.00-20.00,12.00-20.00,12.00-20.00,http://www.ncca.ru/,8 (499) 254-06-74,Зоологическая ул.д. 13+++ стр. 2,55.7657222,37.5767194
Демонстрационный павильон МЦД,Выставочные центры,9.00-21.00,9.00-21.00,9.00-21.00,9.00-21.00,9.00-21.00,9.00-21.00,9.00-21.00,http://mcd.mosmetro.ru/pavilion/#,None,площадь Киевского вокзала,55.7429139,37.5643472
"Детский музей в музее-заповеднике ""Царицыно""",Музеи,None,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-20.00,11.00-19.00,http://tsaritsyno-museum.ru/events/exhibitions/p/detskij-muzej-v-nbsp-tsaritsyne/,8 (495) 322-44-33,Дольская ул.+++ д. 1,55.6155556,37.6822306
Детский музей Забавушка,Музеи,None,None,None,None,None,None,None,None,None,1-я  Пугачевская ул.+++ строение 17,55.7964556,37.7330389
Дом А.Ф. Лосева,Музеи,10.30-19.45,12.00-19.45,10.30-19.45,12.00-19.45,10.30-19.45,12.00-17.45,None,http://www.losev-library.ru/,8 (499) 252-82-72,Арбат ул.+++ д. 33,55.7495306,37.5921028
Дом Брюсова,Музеи,None,11.00-18.00,11.00-18.00,13.00-20.00,13.00-20.00,11.00-18.00,11.00-18.00,http://www.goslitmuz.ru/,8 (495) 680-86-83,просп. Мира+++ 30+++,55.77835,37.6331333
Дом Бурганова,Музеи,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.burganov.ru/,8 (495)  695-04-29,Большой Афанасьевский пер.+++ д.15,55.7466861,37.5970944
Дом винтажной музыки,Музеи,None,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,11.00-20.00,11.00-20.00,http://vdnh.ru/events/razvlecheniya/muzey-vintazhnoy-muzyki/,None,ВДНХ+++ павильон №84 (в правой пристройке),55.8330361,37.6348694
